"County","Date","fatality_cases_per_day","year","month","week"
"Bexar",2021-09-09,NA,2021,9,36
"Bexar",2021-09-10,NA,2021,9,37
"Bexar",2021-09-11,NA,2021,9,37
"Bexar",2021-09-12,NA,2021,9,37
"Bexar",2021-09-13,NA,2021,9,37
"Bexar",2021-09-14,NA,2021,9,37
"Bexar",2021-09-15,NA,2021,9,37
"Bexar",2021-09-16,NA,2021,9,37
"Bexar",2021-09-17,NA,2021,9,38
"Bexar",2021-09-18,NA,2021,9,38
"Bexar",2021-09-19,NA,2021,9,38
"Bexar",2021-09-20,NA,2021,9,38
"Bexar",2021-09-21,NA,2021,9,38
"Bexar",2021-09-22,NA,2021,9,38
"Bexar",2021-09-23,NA,2021,9,38
"Bexar",2021-09-24,NA,2021,9,39
"Bexar",2021-09-25,NA,2021,9,39
"Bexar",2021-09-26,NA,2021,9,39
"Bexar",2021-09-27,NA,2021,9,39
"Bexar",2021-09-28,NA,2021,9,39
"Bexar",2021-09-29,NA,2021,9,39
"Bexar",2021-09-30,NA,2021,9,39
"Bexar",2021-10-01,NA,2021,10,40
"Bexar",2021-10-02,NA,2021,10,40
"Bexar",2021-10-03,NA,2021,10,40
"Bexar",2021-10-04,NA,2021,10,40
"Bexar",2021-10-05,NA,2021,10,40
"Bexar",2021-10-06,NA,2021,10,40
"Bexar",2021-10-07,NA,2021,10,40
"Bexar",2021-10-08,NA,2021,10,41
"Bexar",2021-10-09,NA,2021,10,41
"Bexar",2021-10-10,NA,2021,10,41
"Bexar",2021-10-11,NA,2021,10,41
"Bexar",2021-10-12,NA,2021,10,41
"Bexar",2021-10-13,NA,2021,10,41
"Bexar",2021-10-14,NA,2021,10,41
"Bexar",2021-10-15,NA,2021,10,42
"Bexar",2021-10-16,NA,2021,10,42
"Bexar",2021-10-17,NA,2021,10,42
"Bexar",2021-10-18,NA,2021,10,42
"Bexar",2021-10-19,NA,2021,10,42
"Bexar",2021-10-20,NA,2021,10,42
"Bexar",2021-10-21,NA,2021,10,42
"Bexar",2021-10-22,NA,2021,10,43
"Bexar",2021-10-23,NA,2021,10,43
"Bexar",2021-10-24,NA,2021,10,43
"Bexar",2021-10-25,NA,2021,10,43
"Bexar",2021-10-26,NA,2021,10,43
"Bexar",2021-10-27,NA,2021,10,43
"Bexar",2021-10-28,NA,2021,10,43
"Bexar",2021-10-29,NA,2021,10,44
"Bexar",2021-10-30,NA,2021,10,44
"Bexar",2021-10-31,NA,2021,10,44
"Bexar",2021-11-01,NA,2021,11,44
"Bexar",2021-11-02,NA,2021,11,44
"Bexar",2021-11-03,NA,2021,11,44
"Bexar",2021-11-04,NA,2021,11,44
"Bexar",2021-11-05,NA,2021,11,45
"Bexar",2021-11-06,NA,2021,11,45
"Bexar",2021-11-07,NA,2021,11,45
